Protein,Gene,HealthyControl_1,HealthyControl_2,HealthyControl_3,HealthyControl_4,HealthyControl_5,HealthyControl_6,HealthyControl_7,HealthyControl_8,HealthyControl_9,Prediabetic_1,Prediabetic_2,Prediabetic_3,Prediabetic_4,Prediabetic_5,Prediabetic_6,Prediabetic_7,Prediabetic_8,Prediabetic_9,Type2Diabetes_1,Type2Diabetes_2,Type2Diabetes_3,Type2Diabetes_4,Type2Diabetes_5,Type2Diabetes_6,Type2Diabetes_7,Type2Diabetes_8,Type2Diabetes_9,MetabolicSyndrome_1,MetabolicSyndrome_2,MetabolicSyndrome_3,MetabolicSyndrome_4,MetabolicSyndrome_5,MetabolicSyndrome_6,MetabolicSyndrome_7,MetabolicSyndrome_8,MetabolicSyndrome_9,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6,Reference_Pool
ADIPOQ_HUMAN,ADIPOQ,4773.558688306799,2262.6110840080796,7547.512627467019,1577.5686377425586,5767.48937474445,4380.97049583828,0.0,2326.690365499103,2645.006500326814,2285.4163443973425,1992.043011044555,1344.4399695172904,1836.300573045545,1947.1380192225188,1736.2949755721447,2201.554496762748,1957.385136983959,1850.5121767958442,1980.041126724693,2609.5512162603522,1720.7694695372859,0.0,0.0,1761.0284710498834,2432.4362518643243,2186.8495762502475,2123.1035528101847,2287.528515362548,2938.5836199871137,1995.060384738215,3456.997583198004,3466.9561730554415,4084.7342308370107,2621.3256951772514,1762.7280994734865,1808.1095946707053,2422.4005217109498,2269.889858721813,2539.672495197711,2412.3305204002304,2189.035294817529,2707.545782234337,2644.28220162379
ADIPOR2_HUMAN,ADIPOR2,124392.01058163118,99523.21409823772,96900.7828894051,107297.72041289351,98037.6090905733,90233.5131093446,91184.05687696095,106227.70785204764,72139.71202574097,95582.73337572395,103234.92712647041,123356.25008247836,73482.19875733001,152499.8585303477,93168.20856976019,128014.89220312136,60134.06462504041,124845.8705094523,137386.48655943148,88391.3411960178,75883.63532129786,0.0,196358.1432422654,80199.66114572597,92503.7583624744,69644.9115329378,105669.44970544284,103821.39736260074,80435.97730245374,105946.52854778183,173404.62030508782,91165.01019639322,148053.13869181028,75653.68560580906,94931.09647600239,101127.69900049502,104349.43049951464,113107.71017519553,118768.41615185034,147960.9424921664,108631.91941665941,100174.05037537917,102639.77791364792
AGT_HUMAN,AGT,0.0,7101.441954122634,0.0,0.0,6471.399800868437,0.0,13293.92627642648,0.0,12317.61271733766,9928.188295854583,12265.884047906804,10326.269190179773,0.0,11861.122428179266,9685.456493998734,6651.661518085678,0.0,0.0,8288.006448906503,0.0,4771.2191756904485,12686.710974134377,7942.790320413917,9963.966256392376,0.0,9681.303644358584,7281.999822120543,7719.537897938205,13268.894217009232,0.0,9582.84492379225,0.0,12345.324883454581,5098.59733597419,13620.211816417986,11453.684844393121,8402.25066007997,5875.02142922919,11220.56104629216,9999.711417106786,8900.390508839399,9134.114526252457,9742.263326667382
AGTR1_HUMAN,AGTR1,30394.522711305206,28341.909172823096,33221.44917312251,48342.72840118929,28282.229279241055,23421.86149931902,35161.165356236,44222.416549534246,41495.62156197945,37845.37472441383,30097.873290587417,56657.0423406392,51408.0713881433,56007.32469419073,22013.209209268487,39871.029071732664,26815.193591385916,39137.61886597736,38930.82007652841,0.0,60243.930953558855,33370.74964532338,28463.764455988498,55157.9589761593,34752.814347440675,41271.94668562213,45718.945111406094,53616.68129342834,24634.49650356828,31654.93197705688,28057.729862426233,44140.55627766226,31484.809184631107,31407.51616288622,32409.979271121698,38017.5700855565,31852.94817119013,35772.73299615965,46763.25548812243,33979.687678401395,32550.547714527835,44697.709930610945,33875.378466234215
AKT1_HUMAN,AKT1,35610.52144016043,0.0,88759.49484184041,56840.29298918568,46655.3909433677,45072.71419259217,52968.05435733154,36698.71473150348,52989.95976913131,63591.04385350993,56745.706068712745,49427.45767514566,81537.0719524962,40240.46666993441,0.0,38780.983196059075,67885.29242649772,0.0,65008.86467345489,30060.04031977921,64513.69670248325,77716.46484995754,63148.549739604416,43764.94785995637,57121.45398241417,43673.96302958444,83952.87342155537,45293.19769688334,57013.852133909735,33360.293219398154,52519.87074607368,66503.22360025943,38130.669292266706,0.0,0.0,33756.58758034099,41882.985881290566,48627.74493927186,44773.43339481014,52073.258957213235,51156.83174704893,48652.17805037419,52702.48531540233
AKT2_HUMAN,AKT2,4839.179764830017,5121.608127179384,7817.70974229216,6462.878634649848,4306.9469681638775,5012.986389575124,7113.881708911322,4526.178579287402,0.0,7356.41322528526,5622.346041606599,5173.691522547004,7039.1533013031,3666.1557543419226,6200.913012977181,5283.462954149368,7372.364471740581,0.0,6160.523832999046,2679.3287333008907,5641.552682271437,7366.643942117827,6617.921358455684,3493.6390898938275,6341.104092088103,4697.561557212645,5757.392183325821,5222.381963605825,7838.401344161839,4220.0774848022065,4892.75209805017,5161.364351946004,5024.952220874997,5202.395835305214,6041.211104483508,4208.1059189274,5137.022618579849,6138.52574871608,6445.216508609045,5638.692895193464,5461.034471178001,4402.206467362661,5331.3658078287435
AKT3_HUMAN,AKT3,2161.707699322658,1695.7416259592467,0.0,2416.36671679276,1800.0280420298568,1627.4851066309657,3623.154392157372,2722.6822928440997,2944.3625925911947,2726.4607581952314,2676.0781931359234,3126.68202391543,0.0,3219.5172409431348,3019.0223084508807,1726.038459655565,2326.8856588399544,2321.207303414872,2568.9444811221474,3586.2896259372305,1129.793994210951,3264.070999360502,1988.7451531535958,2272.8713699177138,2291.617305504598,2486.50576569839,2208.374630872619,1923.5211086871107,2873.3833749606156,1586.1810535073396,2356.3124402549865,3105.7350904835434,3026.2032916975836,1401.02130167552,2558.873002907436,0.0,2435.664933558084,1518.3065139914954,2731.0547227033917,2690.90123239325,2315.984697982853,1944.3151186488494,2410.7346162573285
ALB_HUMAN,ALB,0.0,48933.65255399062,52795.38822152727,74798.65210258041,50029.48799283482,0.0,51597.36282310067,51611.04746057309,37424.01336699905,46735.65569664221,54055.65815820099,48339.036353899064,53879.35853262759,39878.119810752505,50662.00154508902,52227.93335101777,48369.982908220714,49759.3971853813,76005.57603388671,47409.37568566008,120887.35784111214,53032.966069566966,83789.29195679117,107676.83486755445,52853.90639836312,72880.19349278453,47422.16435212378,38071.51035909205,47780.3269621259,52735.74757209368,58493.25821157591,45581.45585222427,64294.917379252125,43369.7372517135,0.0,63783.6141904445,48841.66751550269,55999.849037886495,43563.437877184406,50975.45228221185,63291.291169599164,57718.60813156326,51448.843231219565
APOA1_HUMAN,APOA1,48850.09185078138,43492.61479111061,54862.97667934265,72226.98571104101,45267.171810161286,76918.88524708898,73002.04825381328,66488.58609366078,75368.13435438625,23931.1606155844,35801.05632274052,43504.29568100297,0.0,41886.75646043663,44294.29549813826,25855.47762700308,0.0,31584.815298366277,149081.055722076,91101.98878561163,89162.09695852852,115954.03712947515,293377.5482855679,0.0,148477.44331997147,162014.4244675675,125903.13804122055,97254.01183080404,54564.669559740476,101856.69175651655,116553.91414899455,136318.26344284887,44254.54374621989,101465.08331739016,78273.0390365728,136637.1954180112,67302.08799277252,66573.89653477514,56668.39873365205,72205.99087058827,57646.27338681324,54435.85495469621,78330.81730672275
APOA2_HUMAN,APOA2,50159.58647832267,60412.92102564361,74574.57565321072,48638.30396470719,75292.85494271254,0.0,78505.69441279647,52313.791286694206,66506.19829588357,52519.71196580224,50662.30217295179,75890.53806085578,51184.18970135225,0.0,91885.16412960086,52957.83221339422,51194.612719341625,94676.7848751886,62065.20176526062,89670.26204400574,79958.30076301392,65713.9151557658,67002.33037480515,61618.74098373112,75011.76677340285,51582.90608268102,71484.20123442891,50744.813866574004,77329.18139336038,48636.595337851875,97418.7557414428,86954.87300974656,0.0,60241.81803020351,61747.37170088821,69173.52042928606,61867.07998365625,52608.01196893869,56784.937006687636,76446.50864126156,76125.47666042183,60232.031622963805,65237.54438338443
APOA5_HUMAN,APOA5,12807.931212970172,11138.10580183872,17836.705349648368,20336.573801521205,0.0,20926.750176747184,22045.17579010964,26829.06972585506,17727.91579910795,7334.205836489187,8416.04902105554,12967.799989240944,9015.998529992481,14662.324793980897,16539.788218726255,6066.771619661601,11917.323329467921,9305.917708765879,54923.9527476618,0.0,32395.275516192585,34876.20359051021,69514.23717114236,34632.33989249803,51652.40505485591,58555.0407956766,46110.432811349354,0.0,11459.966757451693,14479.550528767788,15748.751216669612,14704.271579421358,5062.152973544795,12003.678262393152,7920.164837996843,16186.727644221495,19052.26713114942,16992.956042957696,16282.273648211032,19330.622013342185,19799.405883423875,17726.264486677435,22593.89993369307
APOB_HUMAN,APOB,41740.6312388855,48373.099238644216,0.0,40137.841092188566,0.0,0.0,0.0,0.0,0.0,0.0,31573.033924340427,0.0,32460.769186503876,58187.8241459469,34604.20248452747,42095.54016575673,0.0,46202.100290351606,0.0,39290.164129213306,0.0,60672.06005159951,60472.43961758695,28869.65249768524,0.0,24026.553849871212,0.0,0.0,0.0,27820.43383816372,40448.29796238407,0.0,37776.937932531495,33618.14611892421,0.0,33376.58393867917,30395.75984376378,35889.483837690044,31657.616442767907,28599.307342301137,44794.99299955849,37185.03901618929,33745.010621994676
APOC1_HUMAN,APOC1,34732.50025190507,62494.37797370161,37711.555135941555,38950.93783733685,41866.59061523229,55681.94499532629,40279.660679911096,58845.89012791422,31898.235826429398,107497.68698074935,111862.95628535814,80582.89196140108,72574.86069748348,104759.91469850828,103102.05998315728,102246.20235116937,71630.21495443309,69851.28497799486,23164.731923460065,28538.057765099802,21159.796088045336,35406.3717337973,29653.686382376523,21537.894272485923,27747.41729241464,22210.538438811065,28557.09159713166,18047.66683343768,16676.853134379842,30929.461625125507,22202.71236338216,21104.888771675982,0.0,21958.388353218885,26099.44243175004,25846.069649645688,53084.21860027673,43846.34833891298,40759.62083370675,56191.339732179826,45425.70394579846,45018.49175266248,45893.43046612419
APOC2_HUMAN,APOC2,3318.531558019848,3337.419719858735,6343.831498747244,4547.655291399373,0.0,3092.3321541899745,6588.292806201967,5396.908502615583,7907.654585843327,4456.937230005643,4224.54101030776,4786.710108719017,3793.855588959421,0.0,5263.72142297857,3234.4663056881755,4396.825573323678,3442.6434640270645,4109.596989622866,0.0,0.0,5507.534878776316,3193.204869212339,3080.7458840944273,3943.479271858598,4422.685451166672,4008.0807518993056,3566.7241227127133,5652.237754614891,3784.003621127296,4945.231679628128,3704.8379009328855,6070.824297993786,3049.939889355291,5707.355165166338,4003.293981750453,5378.3423411387585,2713.4766765129134,4226.217067777358,3720.657449333545,4153.534984600062,3152.5307602478942,4424.755785992906
APOC3_HUMAN,APOC3,18701.892055900193,20802.47702946519,17177.55200350828,20805.121045380834,12147.473913567104,19280.34789049329,17235.472830423838,16571.85985454384,0.0,7353.084785778088,0.0,5010.264437011245,7435.253900785806,4579.074248797494,7658.617283083708,7575.145619410178,6142.388648875814,5369.20797873501,35191.14261549913,21270.838138512034,58396.458437872534,26681.8421876145,35098.20660640134,34016.94946327518,21832.416698523833,51017.316145309276,25374.655651035155,20627.86064890318,28542.041005500512,0.0,23032.132308244913,26959.660298732946,30040.10875809016,38326.856123743426,26390.00361487396,30846.03324563651,10726.225586685227,16254.808523359885,13610.186717452081,14139.790067416041,16027.917851619122,12092.727140730112,21973.441196915064
APOE_HUMAN,APOE,19289.331508435575,16916.64908475257,16498.77491863068,10763.924674735821,14066.898908200546,11077.762825577545,16933.041513004307,16384.890366228552,21710.955085839552,0.0,5883.713616577119,6875.544324474631,4183.513237142878,6092.243150200161,7779.850758190674,6205.095071702308,3329.367763341981,5841.880101106881,18999.15635596652,15662.673403015593,20386.772419882913,23775.99258330955,28344.33520998067,27345.452035335038,27689.913846065047,0.0,14953.794585056272,4413.149589620598,7469.2206073478255,8131.573293675587,0.0,4740.865513550623,4935.616248123869,6752.385558681114,4776.09443767716,6141.667659368007,11826.849769184666,10186.175883988846,12407.149679769593,14882.70439843675,14915.698190613584,16444.7597480004,12367.612825514
ATF4_HUMAN,ATF4,28816.98014478874,69518.68975131988,53107.60139791986,37798.04889505068,37494.55177729944,66028.46625688442,44802.434168572734,33742.49706904041,0.0,51599.508018035136,47497.877792975705,35014.23737290053,34654.81811682522,35685.353954372375,38392.272725918825,45026.388194720115,42643.809229568564,28068.593208868377,38378.76124872412,46866.53820372623,33296.780827614304,52240.52208465876,41210.09221839961,34658.68072819929,0.0,43072.73429811274,44644.98474615337,37950.06663444356,30908.6168920379,62093.076055938946,0.0,48998.05868941824,54238.60750839857,48178.67091926301,55541.671767126936,57983.92379284498,35937.82354487764,39850.60574466765,33572.67637640888,38729.9793061543,35773.8755455873,38704.737548895915,46040.24089785266
ATF6_HUMAN,ATF6,1355.7083754637374,1884.3342640453948,0.0,1981.1566180665634,1942.0176298052074,1142.3228763458087,1773.0048789826421,1439.6241348047404,1410.6519250260606,3928.927988617469,3166.487248936328,2635.2777408910956,0.0,2314.6016917392003,3449.5299021884143,3067.491300425308,2833.6294301522034,2423.644802018651,5623.860440890339,2776.5808891619677,4548.456104200886,5990.905444968454,5954.813290336694,4226.817150170101,6345.360243017607,3069.9370760501442,8010.316133691797,2803.283829541943,4106.029967794607,2900.0910126610815,2807.925920141628,2403.4916045331274,2512.3181983794148,4198.000665844849,3395.9950955502263,3205.540774263364,1519.7710563273624,1830.2235269591163,1157.2963489920353,2068.6240622311275,2094.15032624745,1477.8810207103493,3293.678379301075
BAX_HUMAN,BAX,0.0,438643.156025422,330589.6633096016,0.0,0.0,380299.45714252227,337371.9513505148,340417.33416476945,246922.32319863446,337119.21389587916,302781.64479503984,324908.1229210887,287761.9989828892,274232.72226698755,375787.77686971857,266954.0021569298,358897.8964465575,244021.0890347162,279120.1279611166,377767.497754777,238254.51800706997,477472.08293664764,451183.4104491113,0.0,268167.9407224703,322954.9337834288,267236.9775017584,290174.2137171057,225593.50227874028,538583.5320298488,276060.6516251052,279134.98919970606,306963.7333448382,381596.5544487367,206153.98113782486,474591.17013245146,298719.62945576967,231529.90343194475,336367.7720246297,286276.6575595996,355221.1520790017,291084.3613544852,315363.150196742
BCL2_HUMAN,BCL2,114908.77286663243,122150.56978497402,174340.44760707396,105165.8114136198,0.0,91380.40161172462,154052.8009452449,102982.45426202723,106287.62048967625,119118.04347680036,0.0,92280.50869734815,113958.76441826332,0.0,0.0,112256.24572505853,178282.916759192,72604.47448864464,124259.56556449037,79159.83561805001,149110.62063192044,98830.8323417003,126592.23142340835,98202.59843370283,145203.5257376342,103981.88625178975,119839.5746399039,97426.94968443907,142062.34964643506,69025.16542508366,84848.1404759576,0.0,80001.82102261054,111413.19131719792,141696.66340998156,86878.5682562611,105415.14995134374,91329.1766971348,130693.04762304349,77127.17607730319,111112.19176569227,104400.68094058956,120644.16962140574
C3_HUMAN,C3,63697.572356377685,70896.59413449398,66170.38332419028,63576.07151506923,49718.32737834984,68227.3127542682,60717.8172955092,92709.76693237285,44513.15881472262,83165.82260054885,50793.046325765274,68602.76586746583,130829.05408754792,81528.89846413089,129565.23450036997,52656.370956362975,73990.31355504677,78843.64220675977,66061.05637640848,69662.68663928298,73012.6886113344,51375.884913092515,63872.28173785526,76314.06252037801,75488.28652272529,64260.67900471535,74510.78084232994,74052.6770073838,134032.09941288043,59833.56425878219,63248.478013596534,65971.97501012644,75598.42694100532,69261.40873400745,70496.46580055272,61908.19649722809,54548.01669518482,58185.849964013796,69123.05073638883,78200.16552239469,64929.14961236772,70905.51680478523,71770.64265387379
C4A_HUMAN,C4A,47183.74125928177,42455.849402743384,50927.03681320931,63118.75023692316,0.0,33691.24612186983,34536.96631821198,79947.34518914865,49498.10277209961,69283.14210149908,52360.41963439659,80058.60716214542,75042.33743425531,0.0,42468.12672746805,0.0,55144.39753175711,70615.80815372671,39280.02061275406,41345.0126217311,87959.38517016424,63300.53477867273,43974.05523685172,76724.02026139124,52584.57669090982,68372.71056063124,63154.02948273958,72899.09433154453,44071.725718383605,45027.302993282225,72669.5791394664,65924.89142767208,50603.37028585521,34037.67014117699,0.0,46951.43355006964,62791.958843852546,68658.15040238481,50715.23939826374,54919.51756895515,62352.23254524263,56690.32187742818,58577.977273137825
CAP1_HUMAN,CAP1,22684.616931034903,0.0,23655.61366505044,0.0,0.0,0.0,0.0,32447.351800932553,0.0,0.0,40951.70313063183,0.0,0.0,0.0,0.0,30199.867872802923,0.0,0.0,0.0,18447.852172753785,0.0,0.0,34267.200330926615,0.0,0.0,0.0,0.0,33157.44657795877,0.0,0.0,0.0,0.0,11923.774158366965,0.0,22761.00918195866,0.0,27450.43103786247,28804.01735192088,27677.972105229077,30150.30439318005,30847.821967798922,30771.59430856025,30895.72375407304
CASP1_HUMAN,CASP1,68160.10120800613,51655.98149150607,144865.76490791296,0.0,60734.51385942517,53780.028319521305,168406.89122986383,116034.44437141162,0.0,96790.40155123956,0.0,89483.1746646756,75721.2487321995,115626.78351495191,120203.06338039562,85390.3256572919,115115.93139015256,67581.55997723993,98210.81986735683,147404.7490413628,54522.87775706387,142370.27111660916,49587.76899898668,54147.13056326138,78940.53640604817,92897.68784833861,84876.64889856482,71818.37800381468,149921.286702193,72609.33790093818,74803.86105933384,131240.86853780423,102126.32196044395,57733.58385688753,128099.3097581718,102998.97369175848,104062.2311472273,83156.81700656659,105838.40208487144,96534.73903387616,88934.7569898484,132264.31797879905,100866.22505110936
CASP3_HUMAN,CASP3,75641.53324525441,138867.01290812006,150227.34049408027,86708.37477912137,77368.3163582836,166577.43200423202,103842.88267397418,86223.32726413984,101360.66241702848,104695.28347484443,103781.2813726814,129550.45112882438,117477.24866120324,99296.16460041539,139227.937085259,0.0,119001.79832167613,76550.76837304299,122570.11881548853,110188.9017890208,0.0,133305.80451850194,129115.35094114531,97120.2198220144,84403.61245881952,92322.4207895416,80539.8547316121,99523.21895153793,0.0,192848.94477552822,107933.20318399718,96143.56682667327,89251.7623716374,126795.49362972772,106939.10685325418,0.0,91321.61894141727,86278.48758046485,101400.53167913058,108251.2736596008,114615.46168344002,110625.146009492,98944.92893725279
CAT_HUMAN,CAT,0.0,17330.047132774664,23596.0187068427,23317.62895245166,24690.045873423936,23451.446803874696,31385.766204463318,0.0,20857.872419022257,11101.487973933225,18942.732906110916,25763.790851554535,13590.652694852688,13286.042809977305,17582.59216998182,10220.965091598706,20424.63304096625,13307.121754023938,6874.329287667537,4843.4374309051045,7511.690645903394,0.0,12772.026835398716,7055.305195627428,6915.076338900713,7377.0068129304755,0.0,46775.4028448805,50280.19236339116,70572.01859261953,97741.19734548208,80520.54671179058,29240.927899066686,80373.57279461667,0.0,83431.58115218258,30028.840815446387,22522.576651591513,29976.157840603933,22853.049933303613,27574.70061932411,21071.05968299542,29245.565736791606
CBL_HUMAN,CBL,18918.351261430114,16112.500430863083,16140.087629115167,14452.156344279398,18517.329687011726,12908.571390634861,12126.774566485103,23339.780738461468,11584.717163662523,19981.88150743461,11667.646985421301,19890.949252416136,22455.056818790337,18604.778972852127,0.0,14221.68296886554,14441.087253573254,19434.496765331278,12704.192460515653,8412.27750416754,11681.497770372454,9133.281347225096,14550.115135146538,14298.024756067412,10841.854055070226,13412.62316516637,14989.874496651344,15106.049608961981,20823.449764063505,10193.09264906569,11624.670659238313,21406.12708965441,14845.905649729022,18968.103114357982,15424.382121936571,16885.803084084,15369.308285958725,14825.791304738163,14704.497370055567,17136.901171401772,13185.32249215727,9957.888335219888,13461.749194587734
CCR2_HUMAN,CCR2,5289.059326753198,4133.5784327317615,4769.7008933925645,5905.32453145155,3712.559528707249,0.0,5045.133544767804,0.0,3387.188772126583,5559.180353160349,3558.4160246568954,5228.194019338113,9586.464459617206,5499.797838673403,7117.706106699345,3499.9670258114184,6699.832979155438,4507.605827384291,4320.318125996068,4330.635701149042,4632.597488662214,4333.82414536732,3575.3483725386905,5751.42042162069,5109.347575290125,4323.430400982164,6456.207163855117,5437.698394857288,9208.851714531034,4008.6928802925986,4059.873003145488,5488.267795693335,4426.486096483008,4942.978087821029,4382.37874764264,6718.596382115987,4473.458498181632,4205.602268060469,4344.288190935555,4049.8774868168357,3606.851533207993,5921.402702041639,5332.221631465795
