Protein,Gene,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Mild_1,Mild_2,Mild_3,Mild_4,Mild_5,Mild_6,Moderate_1,Moderate_2,Moderate_3,Moderate_4,Moderate_5,Moderate_6,Severe_1,Severe_2,Severe_3,Severe_4,Severe_5,Severe_6,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6,Reference_Pool
C3_HUMAN,C3,42219.97182019806,55099.72485085499,44439.957632255515,55780.54571766217,50935.37155332548,39471.73035232995,59707.94842659818,0.0,47948.885903781236,0.0,47090.82156362493,55390.282286672984,50492.961540628465,54571.94389547035,54844.88238508098,63327.511184712384,0.0,0.0,60965.24603990904,0.0,61399.977515847655,55021.67339029978,0.0,0.0,69607.51156448251,70935.2636566018,52490.267556947176,53210.15125838241,61047.76715773381,45758.21998381721,51931.23993530851
CDKN2A_HUMAN,CDKN2A,18120.809408186764,19068.287748059687,16053.631332703224,14332.150095482146,13329.676705391183,15384.073395721107,16981.747714194265,17408.55336499269,24325.497267158502,21473.92485423918,15746.635583154502,19165.21014866151,17113.688847852205,17431.62038377243,18704.034393299244,19961.712497731736,17288.67432033718,21338.610388133555,0.0,18208.549845231664,26858.744701194086,18810.25796619254,22554.22866076248,18442.696212385625,19847.081337650063,18036.95875464593,17732.147922358443,16183.918056763498,19404.123596052075,16009.940615013778,18450.346849956568
CDKN2B_HUMAN,CDKN2B,7238.047215113789,6498.28378372456,5892.150772589285,6584.070917972457,5872.364944606187,7077.285756671744,4673.215997264009,5848.687589864953,0.0,4915.036958711135,7546.906409095955,7034.56704009324,5521.427117686891,4909.552903322008,3942.752454828527,5669.120955912688,8842.951044610607,6565.25295855594,5655.466246850717,6595.057000407324,4866.6929695361005,5882.3708902827975,6243.1197578250985,6071.728343664321,6925.2857581265525,6476.985371158681,6799.21592506315,5547.251363963202,7037.343174407738,7853.0260361212495,5825.660214960723
CFB_HUMAN,CFB,0.0,8665.287979950232,6891.273554941714,8754.174880892062,6636.449789402756,8821.697779091513,12150.615366939628,12383.82600749568,15064.856493544814,11284.06295035691,0.0,11138.107227113755,0.0,0.0,18413.89274195185,15435.48511492379,0.0,11685.464732386667,0.0,16738.113440017834,19043.46815382736,22371.96178583006,0.0,20752.193425113015,6924.596452078894,7311.626431825872,6096.269951112917,7885.179249646876,7833.092619405152,7513.588623601231,14325.131962164349
CRP_HUMAN,CRP,9182.092640516536,11918.042524705068,0.0,0.0,0.0,0.0,7287.216632525586,7686.556070617028,0.0,9234.409815917024,8850.409629775993,7829.997129515345,10052.487533198342,0.0,8574.950229566293,7963.391789566322,9535.833243687903,9033.93889338829,0.0,0.0,9134.859477352436,0.0,9036.473004836791,7060.8755699892845,10731.897160616567,10590.791877389223,8456.326292072234,9274.888489187479,6118.421510566319,7384.183042589942,8822.058024839193
CYP7A1_HUMAN,CYP7A1,30832.99897870548,40308.60369937439,48861.997381642796,30353.54325524499,31937.6624503448,37514.319758693026,0.0,30145.91178697331,37590.85803317767,47588.93578340699,28265.489065540707,29881.665072942087,33983.13846496785,33492.35497692859,40906.773403910076,37549.28824028533,27747.92759452577,39123.254150244735,33207.46273933823,43841.135688728544,32959.09788280212,32914.496130716245,39274.490313982875,0.0,38730.22758339255,28122.384691773048,39256.24858050621,31008.434785196525,37513.35045715515,29248.997505133946,36484.9574835864
DGAT2_HUMAN,DGAT2,22503.719832677285,20952.862241651732,28268.369033578096,26335.481471526055,23163.411352699004,31574.419537009504,0.0,25520.616307976677,26443.423124320805,23143.652826294412,27257.832230063934,23444.89103896323,23877.21623739886,31157.869727698868,0.0,17685.64701387412,32340.198962477112,37228.315830885826,23900.038439203086,18994.41048708665,24242.271381271996,0.0,24684.65710858247,21491.601927434996,27704.77077367326,27476.925050879985,20297.741305443138,28206.43001989907,34555.723825531866,26061.640144415855,24193.685994061172
ELOVL6_HUMAN,ELOVL6,43009.86865320272,48183.594022093734,33890.31682691048,45032.69045260151,41436.43153624068,57968.7357853239,42802.827565278305,0.0,37232.01354717818,47981.664584356455,46092.0329789552,38566.07437878714,45120.626499672035,52699.60185632693,41852.90961806529,34087.668036056406,43820.2329892235,0.0,41736.62055908217,43401.40915692675,34017.74304231323,34480.06476701825,47230.51086636176,40622.50692066842,29904.782690605298,49425.015396886825,45768.017456400885,39474.26148249376,36060.769011200944,49804.29670535581,43450.723872728006
F10_HUMAN,F10,20540.16868715834,15302.563516937511,15228.178280575188,14012.5433935115,16240.5053971173,15780.18209358463,27239.539407319524,20878.342618791048,21149.149675654247,21010.98393544012,25419.868161555874,28266.206858790723,28737.66690342162,28884.89264921825,32270.269437004717,29671.01213815642,35511.011087867875,21961.000557114952,34446.24035478701,34675.83910557853,27532.089444999714,33745.93104762317,33992.237773662375,37835.2011627795,16978.315286332996,13849.27627842529,12309.48393184704,14245.61148757573,16816.627311778007,12411.18711109493,25757.103221325528
F7_HUMAN,F7,28066.221067119423,0.0,0.0,0.0,28675.23789717648,22098.786444192112,0.0,25007.628290377143,0.0,0.0,0.0,0.0,22141.24967370014,0.0,0.0,0.0,0.0,22473.828306590352,32135.496916324722,0.0,0.0,0.0,0.0,27603.88350707691,26037.181176612896,28024.95140373849,25094.125212290874,26910.215451040138,26430.06729652553,29004.45736617297,23487.8485194657
FGB_HUMAN,FGB,32293.123596878275,29392.655543296885,47851.23486815396,49204.93281669718,35330.32506177221,31151.419188010135,41791.390028576265,47344.98255348032,53918.534838066895,44490.68096837135,38942.165535157896,36012.47916089836,41245.94515745515,39367.689223885915,35359.77692706715,55988.620381622786,53818.12871098502,48824.99710740059,35863.05135454086,46809.58612268645,45321.38863740756,44001.202303118225,49664.22748552997,45292.469678781235,46009.01016362993,45302.900425441396,43334.705478972464,31509.63731438987,41694.8773775967,37879.358047017064,39843.98043905803
FGF21_HUMAN,FGF21,20804.52839256722,20952.280239589792,19821.778774977884,16796.662296201597,19796.238589775876,16195.058395463078,16665.11767319014,13720.313552650536,17157.69698933596,16312.897792966165,13296.493631930038,16042.1336557696,15973.622159049382,21168.88375962287,0.0,16193.582101367047,16780.479524359627,16273.370139042285,47043.531362125344,41229.185453269165,47410.92504500422,43362.53118510661,40203.865154593725,52362.66001348407,17142.964912810934,12365.273932533639,15871.030807988767,18769.87871961718,18949.5795156041,18854.91660489823,25032.892877762904
FGFR1_HUMAN,FGFR1,30638.676825081355,29561.272242232102,36624.25384466639,36815.242718758556,42187.31676672407,41018.24247349835,17135.107163118937,14502.670806343871,16661.45084170517,18057.270239886344,16956.499658906763,16027.076795349216,5418.574079821557,4837.056199673439,0.0,5466.387068428751,4911.606544052186,0.0,5435.114443521744,4397.277606001755,0.0,6472.526421014511,4382.362869188982,3797.7234927020527,26304.583079737215,34931.41091207862,34940.882091499385,34171.034141117874,41727.001319468174,23291.64688745418,13767.110572345371
FGG_HUMAN,FGG,14361.262968736079,9594.132034856513,10733.265062042228,10149.099601762258,9936.023328249687,10819.818288059196,21964.671857965393,23357.55641047465,16859.624179945567,23595.867188357573,17825.838698399024,23066.150567284123,23764.50876267347,24577.87653821033,25457.469769524905,38823.12555673818,27381.863355774756,21673.674278749437,35234.40241349248,28858.32132495048,28309.87655477002,34916.638730471124,0.0,31768.005064323082,11386.36473018791,11950.89593182971,12110.38882203171,8497.514764055946,12557.33152469445,9806.2100835196,22885.483004159294
FNDC5_HUMAN,FNDC5,15186.838853509336,15514.700983056275,13806.851435172615,17354.39265138974,12526.727974577485,14413.270030602544,14033.674378247091,15213.798070889725,0.0,13170.861560245821,17078.72054602451,15465.956131003039,11535.150473098818,11420.410603949977,15292.201315599888,14821.010119931363,15084.652819787281,15256.314851620844,15847.707464199648,17660.63790404029,12968.523332666406,12850.65953259214,13003.158581660626,15999.034465747249,18466.03283071807,14360.623167110962,10526.921180010577,11864.988789638974,13520.882822880923,14090.933006127856,14299.082101749083
FOXO1_HUMAN,FOXO1,15124.168020073388,14349.927320168257,17600.156052093946,13586.874700246668,13212.444268495687,16156.753858105441,6321.634080128929,8438.274107024967,8082.546790952457,7785.0690021576,10100.303352350895,7249.938060246452,3072.315671672986,0.0,1862.3411431920697,2279.314589845816,1919.279897080974,2015.0086031877731,2393.943095296782,2451.5590164592913,2054.559946570525,2615.6107166206853,2683.2077645212753,2797.7963951991637,16279.698456720564,18449.202300976023,11340.575684312158,14336.673642857812,13203.15793620706,15308.231743828499,7399.065459538755
FOXO3_HUMAN,FOXO3,6497.915278909982,8835.09013237121,6494.444414465496,7088.501208105963,6433.795705235148,6737.992747476662,0.0,7125.3132159711495,7934.348180667621,8529.358683825161,6978.598353917946,7277.861785863863,5605.652137798023,6574.664591522775,7671.011584631766,7585.969109299587,6876.752604446449,7609.246628195575,7170.820489725115,7976.111517288868,6957.421621104291,6315.774091455971,7006.100461109799,4292.270809203464,7055.715064590117,3854.1217176181904,5144.280753717902,7128.995675795717,7156.596193858902,5595.936774536511,6839.27493528832
GPT_HUMAN,GPT,44026.791665234094,33335.15954160911,50181.94239126395,35835.14887255632,38107.93881731602,45684.010707868314,36556.94819533641,0.0,35260.314065024584,0.0,29209.849205912924,34495.96604959817,32068.95370120878,41176.630122430215,36032.05586456084,34356.72710183897,35279.07148042025,37065.45873616877,39320.23735502922,30853.81382485034,30660.61883133058,42305.58388652832,33695.5799826911,28982.461985172107,38312.994024271116,38425.55268165039,28491.61727235048,37100.83437018827,40027.01758241601,37916.07518631156,37507.76201715063
GSK3B_HUMAN,GSK3B,0.0,14476.09117539097,13163.520652376217,12812.533313924701,15696.311088465096,17196.976051718873,18029.294171589165,0.0,13549.94181974333,0.0,15453.968196803893,14027.491367017215,14047.676507913466,15586.503048998584,13652.87311245613,12347.447238337038,12944.505610586868,15148.915382452093,13781.007477601916,14496.016352146162,15231.326594403301,13021.6865195135,15429.474447481944,14580.26309487811,11445.772155805356,17101.874878109476,12778.073180728552,10746.478068266088,11776.26216483077,11818.730537947564,14179.67895352955
HNF1B_HUMAN,HNF1B,0.0,21204.513174262378,0.0,23469.932736520354,0.0,23717.49848350214,0.0,16257.361774734169,0.0,0.0,0.0,0.0,0.0,0.0,22992.201586617484,0.0,0.0,0.0,0.0,25859.015113397716,0.0,0.0,24688.783842336255,0.0,25811.573044775858,24767.289023562233,22647.007474096696,19893.44580685793,19606.437122989293,20575.26144092229,22593.35570070531
IFNG_HUMAN,IFNG,0.0,0.0,29569.045399044848,0.0,0.0,51406.3086691057,28973.859635109082,44424.60865552715,36432.73712520089,37889.24003257097,0.0,38080.426221539594,34811.18051226642,0.0,33265.496154375614,0.0,32341.017359405858,0.0,0.0,38139.28823047195,44245.792113973934,35212.03589344037,0.0,0.0,34418.612595883824,28052.345330405296,31064.31342139231,36855.663108455476,43416.66526081831,54291.78949254233,37939.02084567767
IL13_HUMAN,IL13,42694.53476302069,0.0,33652.5471976556,36732.615451852915,34745.962200823305,34999.55180687763,32379.51347389561,27912.07659603426,27309.43144405016,37968.71873521785,33025.19924460573,31480.31916317759,34468.70259180019,38784.30812219746,35368.81460437266,0.0,41376.779440390215,0.0,37075.612014023376,39838.167044922164,41474.13154305512,40784.038617357066,37746.425165742236,37657.34246071327,37215.48667259094,29200.190869096055,38240.08727882876,28089.7236031383,30556.76125416421,41859.160305242935,35340.052589235296
IL17A_HUMAN,IL17A,0.0,0.0,0.0,0.0,0.0,0.0,50789.10696682409,0.0,45170.08361401937,0.0,45840.9328209785,0.0,0.0,0.0,41679.25270798415,41145.170650574866,0.0,0.0,0.0,31281.040723933427,0.0,0.0,0.0,0.0,41799.700050567364,51981.94607276724,43245.16888674639,43086.68451692686,42279.839413750844,42871.156953616504,44860.60370563718
IL1R1_HUMAN,IL1R1,0.0,0.0,18398.766270488475,0.0,0.0,0.0,0.0,0.0,23296.160159783503,20519.341131776244,0.0,20793.82413481249,18348.297345621937,22163.166900893004,0.0,19964.590182779513,24895.87861588684,13820.160297560456,16136.868306888466,16704.842919339782,0.0,0.0,0.0,17218.519706073,17542.61361587077,28857.58443176909,26154.48087673464,18765.063637266157,18901.130648767838,16799.995808753032,18404.202139940524
KCNQ1_HUMAN,KCNQ1,14174.072012952713,12419.509854145495,14242.334458276595,11346.570408537445,12866.7985818714,14749.961509678977,15239.303523269054,15356.935602727863,11832.77308011635,0.0,12793.211190487378,15861.18764060021,14401.762680820631,11733.972702152125,13756.573096754064,15237.370108117433,15813.930298306552,14122.908910758659,18150.774692164625,16778.075840046586,13879.990789722082,16142.647466862634,19278.980935673495,19356.32228318176,11998.077478768131,12553.084876945364,18023.63995353787,12307.443615752893,11829.131248408226,13410.222501575188,15050.64091022008
KLB_HUMAN,KLB,20028.715205682067,0.0,0.0,0.0,17824.966123838265,0.0,0.0,0.0,18900.056092032966,0.0,18274.258182916783,0.0,16540.71833107181,0.0,0.0,17000.15843921736,24810.572232254155,0.0,0.0,21632.004256876062,0.0,0.0,22001.6874621183,0.0,18653.41830220668,22119.455612479538,22141.52210242385,18729.383802238273,17186.277493923204,17028.820979870514,20810.354813379643
LDLRAP1_HUMAN,LDLRAP1,0.0,0.0,4091.444508480622,4439.273968568953,4471.119811027084,5143.286669991123,4935.516914055264,3506.8442961225783,5245.90734096087,3763.1779932258405,4766.637877661105,4116.932227243775,3830.854480592129,3107.3048976693003,0.0,3225.225279007873,4711.494552432924,5116.288048701427,3616.018789274419,4263.992374159122,0.0,0.0,0.0,0.0,5290.20762323969,3790.7936945420206,4734.190432952975,4135.144605661094,4591.822428516708,3810.790463903561,4315.675762744045
MC4R_HUMAN,MC4R,5092.6963073403695,4570.961978663778,5722.721499013713,5712.573367315153,5664.198789719965,0.0,6440.034960690787,4898.311457007365,5479.917775408752,4718.97750204083,5199.879987592722,0.0,6607.086564935568,5472.234156409546,5014.972206772558,6197.680036556696,0.0,3830.5824194195066,5838.699285092092,5228.908287315091,5380.058209010749,4246.830045960254,5163.668063496026,6998.23979904242,5863.590865283019,5315.293494814806,4851.433178789786,4883.910938951929,3765.017710462032,5385.86706085297,5891.777226089552
MSTN_HUMAN,MSTN,0.0,5313.9347842279285,4932.891926932443,0.0,5915.448700859527,4292.566412467055,6434.574231815048,0.0,0.0,0.0,5053.506277615844,7060.249556162967,3868.4192712311533,0.0,4916.24482382808,6620.895640345542,5303.028199768869,0.0,6387.6355186950805,7728.9961084358,0.0,6208.701427073905,4696.35552070216,7015.395864834879,5235.533668076725,5394.780888359988,5848.632887193301,4641.847508210293,6073.04795312788,6784.66588982633,5423.267432388689
MTOR_HUMAN,MTOR,6402.338144912517,7975.915986103065,9082.070805251296,6130.642632837345,6915.622559382642,9267.18285291069,0.0,8643.379314717813,10739.431068715741,8717.049409515796,8968.165095328364,12202.12018747898,7868.9702564162635,7208.8935487354165,8663.920668055263,8678.481299118986,7508.161167708412,0.0,11489.970871384365,8533.711804934017,7280.1763528376005,9322.095465298875,7993.4792909416165,7822.980941362784,8840.459228305182,6694.026443979583,8566.780353691674,10825.896787587912,8713.94436172967,7679.589366671919,7888.340255896577
NPPA_HUMAN,NPPA,30891.094909555668,31624.259951605414,31042.212377629206,37692.67068075409,25331.2188645051,37386.84689644241,0.0,34763.261169268124,27742.64503313631,0.0,39601.388935220464,37938.1623104653,26175.02551057756,37202.91462711722,34909.08850376039,25822.036639349528,32732.69220763429,34698.5923933292,35709.98133111741,33737.43841020904,34319.1552458581,40979.03754553583,39485.12561297577,21369.415225277444,31324.582244238045,32050.77274260453,25259.546458496017,33319.61979356371,39619.94343585289,27911.359843338927,31807.228679109663
NPPB_HUMAN,NPPB,7763.1807762895405,8052.469882761227,11115.879935654715,8210.238661409463,9545.764411690765,6726.688339963064,11776.585727847238,9748.988466517128,8665.855850456994,9709.430620882105,7208.7297100511705,10634.944998777724,8483.880483602405,8637.863208523318,8273.166480949474,8163.458828813094,9884.484024172074,9254.88660054924,0.0,8894.618778406631,9619.051251600811,8364.01315242258,12443.83652217817,7039.77425210341,10760.760860674363,10934.815518671643,7837.671947261904,12442.981229097937,10340.716990317149,10303.014441913845,9389.96445224488
PCK1_HUMAN,PCK1,14606.961691396044,14624.099856094745,16001.168589658888,18620.443838771662,15506.810269537074,13162.417682611382,0.0,17326.8059457731,16647.85028777808,16876.244850515206,14489.770931171497,13127.821960861027,13248.08683747286,11807.827744401056,15636.758532949083,14903.034493448142,14126.945630501401,9686.559860641843,43804.98023962978,62487.79346977277,47806.003864243416,55753.14866951677,42873.002735717,65539.36521914358,14768.226545955587,15761.783219131823,21390.54786195061,18945.154167389544,14412.520727931693,13805.94282901174,25021.119864382123
PLIN1_HUMAN,PLIN1,87178.50132461853,79494.62415374536,0.0,100640.04161043724,79387.54841909878,0.0,81866.05232201071,105559.07807491929,0.0,0.0,0.0,71051.79622871085,86524.61258818816,0.0,81248.4296878246,66587.30997940627,65853.61102795677,0.0,61950.12971029432,0.0,95605.42899161205,0.0,57535.998064149266,78481.18776428426,78811.04636286182,110594.77341629504,64903.55065644524,76162.6647274367,104308.298321166,86398.4529523764,82152.85619161392
PPARD_HUMAN,PPARD,15692.27284172926,0.0,0.0,13661.174099860176,17596.315557285277,12553.886481323107,16203.64060802747,15844.016076752025,14062.853068286626,15372.465562750125,14049.681508049658,13134.279273291468,14628.01519012179,13070.822481958168,16190.106884804285,12980.75564695277,17163.367282700354,12919.772499054543,14168.71709092847,14045.333968339473,18816.85026855499,0.0,14942.667026084226,16623.02306548529,11244.756126096483,15325.386649846512,20813.626171667736,15734.13767325632,15582.799742102436,16746.679618726776,14317.638712706199
PPARG_HUMAN,PPARG,0.0,35780.79572512424,47527.28575907093,41368.87577423177,0.0,43925.021827611985,0.0,61580.44567148111,49308.43019639185,71910.88446725419,0.0,69886.81891141144,0.0,123179.31755477701,100313.9653466921,74713.37565555345,112894.68823152871,111850.95418285234,137579.54309785282,152172.61050490645,110285.15118348105,177524.17867111386,0.0,0.0,35753.85642402489,40053.681280022894,57813.111151950514,44284.08316709526,52234.78646194905,47717.75723957681,91864.61263188823
PTPN1_HUMAN,PTPN1,10624.945546349501,8357.239901916391,6629.413408030862,7676.325845975482,9405.60511421969,9188.506476139957,6845.341195695636,7767.712061949519,7935.678349685833,8197.314510332557,7044.449506660063,7880.342558297381,0.0,9721.666262583482,9776.633849729587,0.0,8164.708883788269,8842.907168620972,0.0,7290.7194321053385,7520.208470129054,7872.731395220958,7272.542614443478,8872.316956258846,9660.876625375351,6824.794944708043,8691.94163599058,8378.229972496827,9114.379615090591,8642.451022908095,7712.267459884799
REN_HUMAN,REN,14841.818465249706,18015.287436804992,20928.760240930533,12867.16937317915,18890.63223256713,21439.83121942664,0.0,0.0,16140.744687303619,0.0,0.0,12618.394961426888,0.0,15472.40204948555,0.0,14568.196417798828,14516.874155697236,17474.304858608968,16076.693010189414,0.0,19195.731296295184,18820.272439194527,18589.507000780966,22725.153481224912,15281.884354943666,17788.762420181865,21257.518322917706,21682.123833016918,14491.215173888386,17114.97560976812,18467.484436463164
RPS6KB1_HUMAN,RPS6KB1,9192.928359280928,8771.537642465544,8244.694990775672,8041.796690966853,8894.699393689321,8201.905844777093,3182.6169057559246,3240.9950076540076,0.0,0.0,4959.11488957916,2453.5662586978665,1341.3875453820249,1140.0523334964516,1393.3529933785214,1286.7070781713153,1432.442311121989,1524.1374869015751,1315.1698869558616,1514.2352476496383,898.9372894429076,1622.0171449802874,1351.6985732781673,1501.9724103777282,7093.942879552113,7520.308671538397,8706.879063940472,8496.607640415761,8887.830258343127,10023.175285801877,4223.473708892116
SELE_HUMAN,SELE,18161.14652605503,0.0,15220.517694503744,0.0,16922.920495050752,10925.45587131571,17295.9219244108,12545.923220243041,15819.293963941367,15414.926905017977,18702.22250272296,15277.99212642436,14141.17650368727,14544.621089860002,18994.39737021798,17007.53005665603,14810.955566237093,15146.124370844438,12405.439943505957,16634.565262841108,12052.104463511969,17566.279292796775,15998.658644248582,22449.18734413087,13305.683996085025,15453.141738805709,20551.928899413924,18763.623798608543,14136.77894846299,16229.113506665157,15970.595450280694
SIRT1_HUMAN,SIRT1,53241.92972183097,45959.05048066566,50357.86422199259,40158.93685037168,52082.102947193045,54601.205403182605,49325.438731548755,40056.670938007046,59194.73711791969,53905.45152004086,45770.995011919564,48933.52730238019,40749.861791357136,43760.92689890287,47081.54773946225,61363.54813770951,46368.824602113025,56181.35315083601,47077.98246061821,52971.021115000614,49966.03792572765,58178.23690637363,0.0,40312.984817927245,41482.037564623955,47123.47263826552,42317.210159651455,54276.13680519057,47593.09243268767,72874.86855610531,50822.99677760037
SIRT3_HUMAN,SIRT3,4036.8685281977323,3305.974692339013,0.0,0.0,2762.4517250450644,4057.017977091266,5208.856850331271,3657.9707474624374,4071.027710680914,4566.11416826087,3820.308860260924,3588.665008972685,2783.095610837825,4310.58189625592,3849.5221987070063,3363.6332700053417,0.0,3587.2010417548954,0.0,4288.203888412743,0.0,4581.477712492766,3174.8848798036697,3544.932385399755,5224.537237461122,4636.8140909211415,3973.1725108782243,3400.2357433583384,3616.596722825859,3958.69962975019,3699.576574550447
SLC2A1_HUMAN,SLC2A1,33550.02891011909,33853.53710673112,32934.21536641039,27395.302421302204,0.0,39011.71449375052,0.0,33057.05598733558,0.0,34583.30077420339,0.0,0.0,36695.56260086934,0.0,0.0,0.0,31190.66679435125,35649.717322270306,0.0,0.0,7570.033510703866,7748.753723439024,0.0,7810.962464817199,40106.8482043884,37374.46841520917,43954.717562006226,47789.93226052071,29138.514160340997,34371.62033626611,24586.879817218476
SLC2A2_HUMAN,SLC2A2,24861.972672161497,25418.26339162555,23841.00726204712,23859.852444146472,27339.640078823137,23277.158563749377,31699.451161651556,24344.776102568438,42581.32040069304,26108.80609518197,28241.230076826465,23004.25377758785,36085.60697447292,33046.16176855576,29210.192423287906,22827.362841945505,0.0,23612.2505026686,34790.126069005164,31543.247260402724,28340.62192417811,19385.473052889665,24106.17246422497,30973.886951181492,33512.31144400874,32994.99208907273,22002.990435648222,29230.51416749812,32534.712810776226,21785.181446787552,26980.11760519207
