Protein,Gene,Method,Pathway
NAMPT_HUMAN,NAMPT,Label-Free Proteomics,Fatty Acid Oxidation
NFKB1_HUMAN,NFKB1,Label-Free Proteomics,Fatty Acid Oxidation
NFKB2_HUMAN,NFKB2,Label-Free Proteomics,Amino Acid Metabolism
NLRP3_HUMAN,NLRP3,Label-Free Proteomics,Sphingolipid Metabolism
NOS2_HUMAN,NOS2,Label-Free Proteomics,Amino Acid Metabolism
NPPA_HUMAN,NPPA,TMT Proteomics,Bile Acid Metabolism
NPPB_HUMAN,NPPB,TMT Proteomics,TCA Cycle
NR0B2_HUMAN,NR0B2,TMT Proteomics,Fatty Acid Oxidation
NR1H3_HUMAN,NR1H3,TMT Proteomics,Steroid Hormone Biosynthesis
NR1H4_HUMAN,NR1H4,TMT Proteomics,Glycolysis
PCK1_HUMAN,PCK1,Label-Free Proteomics,Nucleotide Metabolism
PCSK9_HUMAN,PCSK9,Label-Free Proteomics,Lipid Metabolism
PDPK1_HUMAN,PDPK1,Label-Free Proteomics,Bile Acid Metabolism
PIK3CA_HUMAN,PIK3CA,Label-Free Proteomics,Steroid Hormone Biosynthesis
PIK3R1_HUMAN,PIK3R1,TMT Proteomics,Bile Acid Metabolism
PIK3R2_HUMAN,PIK3R2,Label-Free Proteomics,Glycolysis
PLAT_HUMAN,PLAT,Label-Free Proteomics,Sphingolipid Metabolism
PLAU_HUMAN,PLAU,TMT Proteomics,Fatty Acid Oxidation
PLIN1_HUMAN,PLIN1,Label-Free Proteomics,Glycolysis
PLIN2_HUMAN,PLIN2,Label-Free Proteomics,Bile Acid Metabolism
PNPLA2_HUMAN,PNPLA2,TMT Proteomics,Sphingolipid Metabolism
PPARA_HUMAN,PPARA,TMT Proteomics,Fatty Acid Oxidation
PPARD_HUMAN,PPARD,Label-Free Proteomics,Steroid Hormone Biosynthesis
PPARG_HUMAN,PPARG,Label-Free Proteomics,Fatty Acid Oxidation
PPARGC1A_HUMAN,PPARGC1A,Label-Free Proteomics,Amino Acid Metabolism
PPP1R3A_HUMAN,PPP1R3A,Label-Free Proteomics,Glycolysis
PRKAA1_HUMAN,PRKAA1,Label-Free Proteomics,Sphingolipid Metabolism
PRKAA2_HUMAN,PRKAA2,Label-Free Proteomics,Sphingolipid Metabolism
PRKAB1_HUMAN,PRKAB1,Label-Free Proteomics,Glycolysis
PRKAB2_HUMAN,PRKAB2,Label-Free Proteomics,Fatty Acid Oxidation
PRKAG1_HUMAN,PRKAG1,Label-Free Proteomics,Amino Acid Metabolism
PRKCZ_HUMAN,PRKCZ,TMT Proteomics,Glycolysis
PTEN_HUMAN,PTEN,TMT Proteomics,Sphingolipid Metabolism
PTPN1_HUMAN,PTPN1,TMT Proteomics,Sphingolipid Metabolism
PYGL_HUMAN,PYGL,Label-Free Proteomics,Fatty Acid Oxidation
PYGM_HUMAN,PYGM,Label-Free Proteomics,Steroid Hormone Biosynthesis
RELA_HUMAN,RELA,Label-Free Proteomics,Glycolysis
REN_HUMAN,REN,Label-Free Proteomics,Amino Acid Metabolism
RETN_HUMAN,RETN,TMT Proteomics,Glycolysis
RICTOR_HUMAN,RICTOR,Label-Free Proteomics,Purine Metabolism
RPS6KB1_HUMAN,RPS6KB1,Label-Free Proteomics,Lipid Metabolism
RPTOR_HUMAN,RPTOR,TMT Proteomics,Bile Acid Metabolism
RXRA_HUMAN,RXRA,TMT Proteomics,Purine Metabolism
SAA1_HUMAN,SAA1,Label-Free Proteomics,Steroid Hormone Biosynthesis
SCAP_HUMAN,SCAP,Label-Free Proteomics,Lipid Metabolism
SCARB1_HUMAN,SCARB1,TMT Proteomics,TCA Cycle
SCD_HUMAN,SCD,TMT Proteomics,Lipid Metabolism
SELE_HUMAN,SELE,TMT Proteomics,Lipid Metabolism
SERPINA1_HUMAN,SERPINA1,Label-Free Proteomics,Steroid Hormone Biosynthesis
SERPINE1_HUMAN,SERPINE1,Label-Free Proteomics,Purine Metabolism
SIRT1_HUMAN,SIRT1,Label-Free Proteomics,Bile Acid Metabolism
SIRT3_HUMAN,SIRT3,Label-Free Proteomics,Sphingolipid Metabolism
SLC2A1_HUMAN,SLC2A1,TMT Proteomics,Purine Metabolism
SLC2A2_HUMAN,SLC2A2,Label-Free Proteomics,Sphingolipid Metabolism
SLC2A4_HUMAN,SLC2A4,Label-Free Proteomics,Steroid Hormone Biosynthesis
SOD1_HUMAN,SOD1,Label-Free Proteomics,Nucleotide Metabolism
SORBS1_HUMAN,SORBS1,TMT Proteomics,Nucleotide Metabolism
SREBF1_HUMAN,SREBF1,TMT Proteomics,Purine Metabolism
SREBF2_HUMAN,SREBF2,TMT Proteomics,Bile Acid Metabolism
STK11_HUMAN,STK11,TMT Proteomics,Amino Acid Metabolism
TBC1D4_HUMAN,TBC1D4,Label-Free Proteomics,Purine Metabolism
TCF7L2_HUMAN,TCF7L2,TMT Proteomics,Sphingolipid Metabolism
TGFB1_HUMAN,TGFB1,TMT Proteomics,Steroid Hormone Biosynthesis
TLR2_HUMAN,TLR2,Label-Free Proteomics,Bile Acid Metabolism
TLR4_HUMAN,TLR4,Label-Free Proteomics,Sphingolipid Metabolism
TNF_HUMAN,TNF,Label-Free Proteomics,Glycolysis
TNFRSF1A_HUMAN,TNFRSF1A,Label-Free Proteomics,Nucleotide Metabolism
TNFRSF1B_HUMAN,TNFRSF1B,TMT Proteomics,Fatty Acid Oxidation
TP53_HUMAN,TP53,Label-Free Proteomics,Bile Acid Metabolism
TSC1_HUMAN,TSC1,TMT Proteomics,Purine Metabolism
TSC2_HUMAN,TSC2,Label-Free Proteomics,Purine Metabolism
VEGFA_HUMAN,VEGFA,TMT Proteomics,Lipid Metabolism
VWF_HUMAN,VWF,Label-Free Proteomics,Glycolysis
WFS1_HUMAN,WFS1,Label-Free Proteomics,Sphingolipid Metabolism
XBP1_HUMAN,XBP1,TMT Proteomics,Steroid Hormone Biosynthesis
